site	gene_id	gene_name	chrom	pos	n_sig_windows	min_p	windows
NC_000012.12:106225269	ENSG00000166046.11	TCP11L2	chr12	106225269	1	3.59725e-06	up
NC_000014.9:95424609	ENSG00000176438.13	SYNE3	chr14	95424609	3	3.60377e-06	body,dn,up
NC_000001.11:152218691	ENSG00000197915.7	HRNR	chr1	152218691	1	3.60529e-06	dn
NC_000014.9:55266937	ENSG00000178974.11	FBXO34	chr14	55266937	1	3.61517e-06	body
NC_000006.12:139001401	ENSG00000135597.19	REPS1	chr6	139001401	1	3.63836e-06	dn
NC_000003.12:10690350	ENSG00000157087.20	ATP2B2	chr3	10690350	1	3.64024e-06	up
NC_000009.12:113085465	ENSG00000136866.14	ZFP37	chr9	113085465	1	3.6594e-06	dn
NC_000011.10:27637584	ENSG00000176697.20	BDNF	chr11	27637584	1	3.69171e-06	up
NC_000002.12:74931377	ENSG00000115350.12	POLE4	chr2	74931377	1	3.70156e-06	dn
NC_000017.11:68769729	ENSG00000108950.12	FAM20A	chr17	68769729	1	3.70611e-06	enh
NC_000001.11:733661	ENSG00000284662.2	OR4F16	chr1	733661	1	3.74317e-06	dn
NC_000006.12:110476302	ENSG00000004809.14	SLC22A16	chr6	110476302	3	3.74733e-06	body,dn,up
NC_000001.11:2671395	ENSG00000142606.16	MMEL1	chr1	2671395	3	3.76883e-06	body,dn,up
NC_000006.12:157312627	ENSG00000215712.11	TMEM242	chr6	157312627	1	3.81353e-06	up
NC_000014.9:51197500	ENSG00000139921.13	TMX1	chr14	51197500	1	3.82341e-06	up
NC_000017.11:73177341	ENSG00000180616.9	SSTR2	chr17	73177341	2	3.84216e-06	dn,prom
NC_000001.11:121020771	ENSG00000263353.4	PPIAL4A	chr1	121020771	1	3.87774e-06	up
NC_000010.11:127804478	ENSG00000186766.8	FOXI2	chr10	127804478	1	3.89036e-06	dn
NC_000020.11:41495084	ENSG00000124177.16	CHD6	chr20	41495084	1	3.89393e-06	up
NC_000017.11:21702898	ENSG00000260458.3	KCNJ18	chr17	21702898	1	3.95462e-06	dn
NC_000020.11:45676401	ENSG00000180083.11	WFDC11	chr20	45676401	1	3.99203e-06	dn
NC_000001.11:175887565	ENSG00000116147.19	TNR	chr1	175887565	1	3.99536e-06	dn
NC_000001.11:121020214	ENSG00000263353.4	PPIAL4A	chr1	121020214	1	4.01402e-06	up
NC_000007.14:158916248	ENSG00000126870.16	DYNC2I1	chr7	158916248	1	4.01856e-06	body
NC_000017.11:26831683	ENSG00000109046.15	WSB1	chr17	26831683	1	4.03464e-06	up
NC_000005.10:181173603	ENSG00000182613.3	OR2V2	chr5	181173603	2	4.04007e-06	dn,prom
NC_000004.12:119316701	ENSG00000145384.4	FABP2	chr4	119316701	1	4.04228e-06	dn
NC_000001.11:2658438	ENSG00000142606.16	MMEL1	chr1	2658438	1	4.04321e-06	dn
NC_000002.12:158926732	ENSG00000115183.15	TANC1	chr2	158926732	1	4.11722e-06	up
NC_000001.11:2661508	ENSG00000142606.16	MMEL1	chr1	2661508	1	4.16643e-06	dn
NC_000007.14:141784681	ENSG00000127366.5	TAS2R5	chr7	141784681	1	4.16987e-06	dn
NC_000012.12:112565850	ENSG00000089169.15	RPH3A	chr12	112565850	1	4.18477e-06	enh
NC_000005.10:66693715	ENSG00000069020.19	MAST4	chr5	66693715	1	4.18513e-06	body
NC_000001.11:209969110	ENSG00000143469.21	SYT14	chr1	209969110	1	4.2272e-06	enh
NC_000019.10:23883946	ENSG00000213967.12	ZNF726	chr19	23883946	1	4.33779e-06	dn
NC_000014.9:18652946	ENSG00000257115.2	OR11H12	chr14	18652946	1	4.34136e-06	up
NC_000011.10:123322390	ENSG00000023171.20	GRAMD1B	chr11	123322390	1	4.34554e-06	prom
NC_000009.12:113082168	ENSG00000136866.14	ZFP37	chr9	113082168	1	4.35712e-06	dn
NC_000007.14:30924366	ENSG00000240583.14	AQP1	chr7	30924366	1	4.36213e-06	up
NC_000001.11:2660444	ENSG00000142606.16	MMEL1	chr1	2660444	1	4.39943e-06	dn
NC_000009.12:113065618	ENSG00000136866.14	ZFP37	chr9	113065618	1	4.41606e-06	dn
NC_000012.12:5046876	ENSG00000130037.5	KCNA5	chr12	5046876	1	4.43573e-06	enh
NC_000020.11:19664624	ENSG00000132669.14	RIN2	chr20	19664624	1	4.52515e-06	up
NC_000011.10:124209643	ENSG00000255425.6	OR8G3P	chr11	124209643	1	4.5341e-06	up
NC_000007.14:49853052	ENSG00000188730.5	VWC2	chr7	49853052	1	4.54504e-06	body
NC_000010.11:38833453	ENSG00000283930.1	PLD5P1	chr10	38833453	2	4.54663e-06	body,dn
NC_000011.10:58483167	ENSG00000198283.3	OR5B21	chr11	58483167	1	4.58102e-06	up
NC_000010.11:87741550	ENSG00000198682.13	PAPSS2	chr10	87741550	1	4.58874e-06	dn
NC_000009.12:113082210	ENSG00000136866.14	ZFP37	chr9	113082210	1	4.59393e-06	dn
NC_000005.10:78457904	ENSG00000085365.18	SCAMP1	chr5	78457904	1	4.60508e-06	body
NC_000010.11:127575343	ENSG00000214285.3	NPS	chr10	127575343	1	4.61065e-06	dn
NC_000013.11:19093712	ENSG00000198033.13	TUBA3C	chr13	19093712	1	4.63667e-06	dn
NC_000004.12:190120882	ENSG00000260596.5	DUX4	chr4	190120882	1	4.63744e-06	up
NC_000015.10:101679495	ENSG00000184277.13	TM2D3	chr15	101679495	1	4.64723e-06	dn
NC_000020.11:31092466	ENSG00000215547.1	DEFB115	chr20	31092466	1	4.67224e-06	up
NC_000006.12:169578101	ENSG00000285733.1	ENSG00000285733	chr6	169578101	1	4.70786e-06	dn
NC_000020.11:2390163	ENSG00000166948.10	TGM6	chr20	2390163	1	4.72114e-06	up
NC_000011.10:71512287	ENSG00000244411.4	KRTAP5-7	chr11	71512287	1	4.7711e-06	enh
NC_000002.12:75161752	ENSG00000115353.11	TACR1	chr2	75161752	2	4.77804e-06	body,up
NC_000002.12:74955849	ENSG00000115350.12	POLE4	chr2	74955849	1	4.83159e-06	dn
NC_000001.11:247531206	ENSG00000196242.10	OR2C3	chr1	247531206	1	4.87096e-06	up
NC_000002.12:177387132	ENSG00000018510.18	AGPS	chr2	177387132	1	4.88072e-06	body
NC_000018.10:45765222	ENSG00000197046.12	SIGLEC15	chr18	45765222	1	4.92634e-06	up
NC_000001.11:210001563	ENSG00000143469.21	SYT14	chr1	210001563	1	4.94463e-06	up
NC_000008.11:24957856	ENSG00000277586.4	NEFL	chr8	24957856	1	4.97952e-06	up
NC_000002.12:201824766	ENSG00000138395.17	CDK15	chr2	201824766	1	5.00405e-06	up
NC_000011.10:113268833	ENSG00000149292.17	TTC12	chr11	113268833	1	5.02325e-06	prom
NC_000004.12:7779495	ENSG00000196526.11	AFAP1	chr4	7779495	1	5.03539e-06	up
NC_000011.10:91623494	ENSG00000165323.16	FAT3	chr11	91623494	1	5.05675e-06	body
NC_000011.10:122439904	ENSG00000154127.10	UBASH3B	chr11	122439904	1	5.08888e-06	up
NC_000020.11:25762592	ENSG00000130684.14	ZNF337	chr20	25762592	1	5.11297e-06	up
NC_000010.11:113503412	ENSG00000148702.15	HABP2	chr10	113503412	1	5.12086e-06	up
NC_000009.12:113060490	ENSG00000136866.14	ZFP37	chr9	113060490	1	5.12616e-06	dn
NC_000009.12:32730011	ENSG00000188133.6	TMEM215	chr9	32730011	1	5.13238e-06	up
NC_000006.12:163956653	ENSG00000112531.17	QKI	chr6	163956653	2	5.13691e-06	enh,up
NC_000020.11:31066436	ENSG00000215547.1	DEFB115	chr20	31066436	1	5.18507e-06	up
NC_000016.10:20649881	ENSG00000005187.12	ACSM3	chr16	20649881	1	5.23701e-06	body
NC_000013.11:94597397	ENSG00000088451.11	TGDS	chr13	94597397	1	5.26595e-06	dn
NC_000010.11:4847533	ENSG00000165568.18	AKR1E2	chr10	4847533	1	5.28085e-06	body
NC_000010.11:38788863	ENSG00000283930.1	PLD5P1	chr10	38788863	1	5.28512e-06	dn
NC_000003.12:122129322	ENSG00000036828.17	CASR	chr3	122129322	1	5.29286e-06	enh
NC_000004.12:37103514	ENSG00000174145.8	NWD2	chr4	37103514	1	5.29422e-06	enh
NC_000007.14:64869507	ENSG00000198039.12	ZNF273	chr7	64869507	1	5.31624e-06	dn
NC_000001.11:719762	ENSG00000284662.2	OR4F16	chr1	719762	1	5.33311e-06	prom
NC_000001.11:779614	ENSG00000284662.2	OR4F16	chr1	779614	1	5.3447e-06	prom
NC_000003.12:125022395	ENSG00000173706.15	HEG1	chr3	125022395	3	5.39184e-06	body,dn,up
NC_000012.12:107598387	ENSG00000136045.12	PWP1	chr12	107598387	1	5.41412e-06	up
NC_000005.10:140710436	ENSG00000146007.11	ZMAT2	chr5	140710436	1	5.44e-06	dn
NC_000005.10:841549	ENSG00000188818.13	ZDHHC11	chr5	841549	3	5.45844e-06	body,dn,up
NC_000020.11:54153514	ENSG00000019186.10	CYP24A1	chr20	54153514	1	5.48454e-06	up
NC_000003.12:131419817	ENSG00000198585.12	NUDT16	chr3	131419817	1	5.49019e-06	dn
NC_000001.11:212279587	ENSG00000066027.12	PPP2R5A	chr1	212279587	1	5.50235e-06	body
NC_000010.11:14049972	ENSG00000151474.23	FRMD4A	chr10	14049972	1	5.52144e-06	up
NC_000012.12:129910677	ENSG00000151952.16	TMEM132D	chr12	129910677	1	5.57574e-06	body
NC_000014.9:18656314	ENSG00000257115.2	OR11H12	chr14	18656314	1	5.58404e-06	up
NC_000012.12:71272948	ENSG00000139292.13	LGR5	chr12	71272948	1	5.6129e-06	up
NC_000011.10:134046268	ENSG00000166086.13	JAM3	chr11	134046268	1	5.61376e-06	up
NC_000012.12:110992251	ENSG00000111249.14	CUX2	chr12	110992251	1	5.64147e-06	up
NC_000004.12:26436901	ENSG00000163394.6	CCKAR	chr4	26436901	1	5.64983e-06	up
NC_000020.11:60115683	ENSG00000124215.17	CDH26	chr20	60115683	2	5.67496e-06	dn,enh
NC_000010.11:122969993	ENSG00000179988.15	PSTK	chr10	122969993	1	5.68799e-06	body
NC_000005.10:137680686	ENSG00000146021.15	KLHL3	chr5	137680686	3	5.71541e-06	body,dn,up
NC_000001.11:115367244	ENSG00000134259.6	NGF	chr1	115367244	1	5.71894e-06	up
NC_000020.11:31191741	ENSG00000215547.1	DEFB115	chr20	31191741	1	5.75085e-06	up
NC_000001.11:152219357	ENSG00000197915.7	HRNR	chr1	152219357	1	5.77271e-06	dn
NC_000008.11:66355510	ENSG00000179041.4	RRS1	chr8	66355510	1	5.90136e-06	up
NC_000006.12:169216176	ENSG00000186340.17	THBS2	chr6	169216176	1	5.9475e-06	up
NC_000011.10:20358953	ENSG00000109854.14	HTATIP2	chr11	20358953	1	5.95123e-06	dn
NC_000007.14:158915993	ENSG00000126870.16	DYNC2I1	chr7	158915993	1	5.98854e-06	body
NC_000001.11:735426	ENSG00000284662.2	OR4F16	chr1	735426	1	5.99498e-06	dn
NC_000019.10:36280120	ENSG00000196357.12	ZNF565	chr19	36280120	1	6.02162e-06	up
NC_000009.12:113082171	ENSG00000136866.14	ZFP37	chr9	113082171	1	6.05734e-06	dn
NC_000001.11:2671792	ENSG00000142606.16	MMEL1	chr1	2671792	1	6.06496e-06	dn
NC_000006.12:6274343	ENSG00000124491.16	F13A1	chr6	6274343	1	6.06788e-06	up
NC_000004.12:52806866	ENSG00000226887.8	ERVMER34-1	chr4	52806866	1	6.07162e-06	dn
NC_000014.9:18661671	ENSG00000257115.2	OR11H12	chr14	18661671	1	6.07804e-06	up
NC_000020.11:2389000	ENSG00000166948.10	TGM6	chr20	2389000	1	6.08804e-06	up
NC_000019.10:7450940	ENSG00000198723.11	SAXO5	chr19	7450940	1	6.11675e-06	up
NC_000019.10:22633947	ENSG00000229676.3	ZNF492	chr19	22633947	3	6.13929e-06	body,dn,prom
NC_000021.9:44937247	ENSG00000160256.14	SLX9	chr21	44937247	1	6.1655e-06	body
NC_000001.11:192893516	ENSG00000116741.8	RGS2	chr1	192893516	1	6.1674e-06	dn
NC_000006.12:157285738	ENSG00000215712.11	TMEM242	chr6	157285738	1	6.16875e-06	up
NC_000002.12:74943172	ENSG00000115350.12	POLE4	chr2	74943172	1	6.1818e-06	dn
NC_000009.12:39550199	ENSG00000204849.10	SPATA31A1	chr9	39550199	1	6.22371e-06	dn
NC_000003.12:149253014	ENSG00000047457.14	CP	chr3	149253014	1	6.26041e-06	enh
NC_000003.12:189552542	ENSG00000073282.14	TP63	chr3	189552542	1	6.27052e-06	body
NC_000006.12:690025	ENSG00000112685.14	EXOC2	chr6	690025	1	6.30497e-06	up
NC_000022.11:50106014	ENSG00000073146.17	MOV10L1	chr22	50106014	1	6.32434e-06	enh
NC_000001.11:115259589	ENSG00000134259.6	NGF	chr1	115259589	1	6.32562e-06	up
NC_000010.11:79946336	ENSG00000133661.17	SFTPD	chr10	79946336	1	6.33253e-06	up
NC_000001.11:47991997	ENSG00000269113.4	TRABD2B	chr1	47991997	1	6.38642e-06	dn
NC_000002.12:106913493	ENSG00000144057.16	ST6GAL2	chr2	106913493	1	6.40533e-06	up
NC_000010.11:46877453	ENSG00000204179.11	PTPN20	chr10	46877453	1	6.40948e-06	up
NC_000008.11:103125405	ENSG00000164929.17	BAALC	chr8	103125405	1	6.41346e-06	up
NC_000001.11:115367314	ENSG00000134259.6	NGF	chr1	115367314	1	6.44974e-06	up
NC_000020.11:31058074	ENSG00000215547.1	DEFB115	chr20	31058074	1	6.45311e-06	up
NC_000009.12:32699277	ENSG00000122728.6	TAF1L	chr9	32699277	1	6.48911e-06	dn
NC_000002.12:131429739	ENSG00000075886.11	TUBA3D	chr2	131429739	1	6.51053e-06	prom
NC_000001.11:7371161	ENSG00000049245.13	VAMP3	chr1	7371161	1	6.55157e-06	dn
NC_000001.11:247849678	ENSG00000162722.9	TRIM58	chr1	247849678	1	6.55479e-06	up
NC_000008.11:66370697	ENSG00000179041.4	RRS1	chr8	66370697	1	6.55751e-06	up
NC_000011.10:92875840	ENSG00000134640.3	MTNR1B	chr11	92875840	2	6.57267e-06	prom,up
NC_000005.10:66524228	ENSG00000069020.19	MAST4	chr5	66524228	1	6.57814e-06	up
NC_000008.11:66356089	ENSG00000179041.4	RRS1	chr8	66356089	1	6.59641e-06	up
NC_000020.11:2390157	ENSG00000166948.10	TGM6	chr20	2390157	1	6.60795e-06	up
NC_000001.11:121021159	ENSG00000263353.4	PPIAL4A	chr1	121021159	1	6.64028e-06	up
NC_000010.11:126055862	ENSG00000203780.12	FANK1	chr10	126055862	1	6.64542e-06	dn
NC_000006.12:149983434	ENSG00000111981.5	ULBP1	chr6	149983434	1	6.64993e-06	dn
NC_000022.11:24849412	ENSG00000167037.19	SGSM1	chr22	24849412	1	6.68862e-06	up
NC_000009.12:32702979	ENSG00000122728.6	TAF1L	chr9	32702979	1	6.71712e-06	dn
NC_000012.12:112532663	ENSG00000089169.15	RPH3A	chr12	112532663	1	6.74401e-06	enh
NC_000010.11:79945998	ENSG00000133661.17	SFTPD	chr10	79945998	2	6.76562e-06	body,dn
NC_000010.11:46879379	ENSG00000204179.11	PTPN20	chr10	46879379	1	6.81539e-06	up
NC_000004.12:16774014	ENSG00000169744.13	LDB2	chr4	16774014	1	6.82282e-06	up
NC_000019.10:21566771	ENSG00000197013.11	ZNF429	chr19	21566771	1	6.84987e-06	dn
NC_000010.11:113509581	ENSG00000148702.15	HABP2	chr10	113509581	1	6.91972e-06	up
NC_000001.11:64033159	ENSG00000177414.14	UBE2U	chr1	64033159	1	6.94184e-06	body
NC_000001.11:153007023	ENSG00000163209.15	SPRR3	chr1	153007023	1	6.95362e-06	dn
NC_000011.10:118680425	ENSG00000118094.12	TREH	chr11	118680425	1	6.95577e-06	dn
NC_000012.12:30879017	ENSG00000110900.16	TSPAN11	chr12	30879017	1	7.02061e-06	up
NC_000006.12:47636397	ENSG00000153294.12	ADGRF4	chr6	47636397	1	7.0212e-06	up
NC_000011.10:134045758	ENSG00000166086.13	JAM3	chr11	134045758	1	7.03342e-06	up
NC_000012.12:129066748	ENSG00000151948.12	GLT1D1	chr12	129066748	1	7.03813e-06	dn
NC_000011.10:63196407	ENSG00000196600.13	SLC22A25	chr11	63196407	2	7.0469e-06	body,up
NC_000002.12:70891758	ENSG00000116035.4	VAX2	chr2	70891758	1	7.06729e-06	enh
NC_000009.12:113088903	ENSG00000136866.14	ZFP37	chr9	113088903	1	7.12833e-06	dn
NC_000006.12:157311248	ENSG00000215712.11	TMEM242	chr6	157311248	1	7.13159e-06	up
NC_000002.12:152009651	ENSG00000283228.1	ENSG00000283228	chr2	152009651	2	7.15807e-06	body,dn
NC_000020.11:31187538	ENSG00000215547.1	DEFB115	chr20	31187538	1	7.1635e-06	up
NC_000014.9:95423060	ENSG00000176438.13	SYNE3	chr14	95423060	3	7.2215e-06	body,dn,up
NC_000001.11:121016527	ENSG00000263353.4	PPIAL4A	chr1	121016527	1	7.22342e-06	up
NC_000019.10:7450702	ENSG00000198723.11	SAXO5	chr19	7450702	1	7.22978e-06	up
NC_000007.14:100952920	ENSG00000169894.18	MUC3A	chr7	100952920	1	7.2351e-06	body
NC_000007.14:29809719	ENSG00000122574.12	WIPF3	chr7	29809719	1	7.28369e-06	up
NC_000006.12:77654672	ENSG00000269964.4	MEI4	chr6	77654672	1	7.286e-06	body
NC_000006.12:58227167	ENSG00000146143.19	PRIM2	chr6	58227167	1	7.29399e-06	dn
NC_000006.12:408689	ENSG00000137265.16	IRF4	chr6	408689	1	7.29858e-06	dn
NC_000016.10:31538312	ENSG00000169877.10	AHSP	chr16	31538312	1	7.3e-06	dn
NC_000001.11:121750135	ENSG00000188610.12	FAM72B	chr1	121750135	1	7.34275e-06	up
NC_000002.12:3287359	ENSG00000032389.13	EIPR1	chr2	3287359	3	7.3564e-06	body,dn,up
NC_000020.11:61203245	ENSG00000179242.16	CDH4	chr20	61203245	1	7.3661e-06	up
NC_000007.14:118442905	ENSG00000106013.15	ANKRD7	chr7	118442905	1	7.37192e-06	body
NC_000020.11:2393483	ENSG00000166948.10	TGM6	chr20	2393483	1	7.37674e-06	up
NC_000006.12:85442180	ENSG00000135318.12	NT5E	chr6	85442180	1	7.41915e-06	dn
NC_000002.12:241016474	ENSG00000162804.15	SNED1	chr2	241016474	1	7.50928e-06	body
NC_000013.11:72203014	ENSG00000276644.5	DACH1	chr13	72203014	1	7.51852e-06	up
NC_000001.11:116191720	ENSG00000173212.5	MAB21L3	chr1	116191720	1	7.5395e-06	dn
NC_000010.11:113561367	ENSG00000148702.15	HABP2	chr10	113561367	1	7.54901e-06	up
NC_000007.14:22725790	ENSG00000136244.12	IL6	chr7	22725790	1	7.59778e-06	dn
NC_000020.11:62607440	ENSG00000101187.16	SLCO4A1	chr20	62607440	1	7.6621e-06	up
NC_000010.11:98265169	ENSG00000138131.4	LOXL4	chr10	98265169	2	7.79812e-06	body,up
NC_000006.12:149982252	ENSG00000111981.5	ULBP1	chr6	149982252	1	7.82865e-06	dn
NC_000007.14:58088775	ENSG00000182111.9	ZNF716	chr7	58088775	1	7.84629e-06	up
NC_000001.11:2665093	ENSG00000142606.16	MMEL1	chr1	2665093	1	7.93702e-06	dn
NC_000011.10:234570	ENSG00000142082.15	SIRT3	chr11	234570	1	7.93963e-06	enh
NC_000005.10:103039268	ENSG00000145723.17	GIN1	chr5	103039268	3	7.96899e-06	body,dn,up
NC_000002.12:113397631	ENSG00000136682.16	ZNG1B	chr2	113397631	1	8.00351e-06	body
NC_000006.12:157312593	ENSG00000215712.11	TMEM242	chr6	157312593	1	8.01606e-06	up
NC_000015.10:100058573	ENSG00000140470.15	ADAMTS17	chr15	100058573	1	8.02899e-06	dn
NC_000018.10:495672	ENSG00000158270.12	COLEC12	chr18	495672	2	8.02965e-06	body,dn
NC_000016.10:88293288	ENSG00000225614.4	ZNF469	chr16	88293288	1	8.03268e-06	dn
NC_000002.12:71160971	ENSG00000124383.11	MPHOSPH10	chr2	71160971	1	8.03719e-06	up
NC_000007.14:158916750	ENSG00000126870.16	DYNC2I1	chr7	158916750	1	8.04932e-06	body
NC_000006.12:169573728	ENSG00000285733.1	ENSG00000285733	chr6	169573728	1	8.05277e-06	dn
NC_000002.12:177383404	ENSG00000018510.18	AGPS	chr2	177383404	1	8.06722e-06	body
NC_000001.11:48003248	ENSG00000269113.4	TRABD2B	chr1	48003248	1	8.18449e-06	up
NC_000012.12:48550971	ENSG00000198678.5	OR5BS1P	chr12	48550971	1	8.20115e-06	up
NC_000005.10:843377	ENSG00000188818.13	ZDHHC11	chr5	843377	3	8.22798e-06	body,dn,up
NC_000001.11:30796094	ENSG00000162511.8	LAPTM5	chr1	30796094	1	8.2413e-06	dn
NC_000009.12:113059868	ENSG00000136866.14	ZFP37	chr9	113059868	1	8.31412e-06	dn
NC_000009.12:113085490	ENSG00000136866.14	ZFP37	chr9	113085490	1	8.31926e-06	dn
NC_000020.11:2359171	ENSG00000166948.10	TGM6	chr20	2359171	1	8.35051e-06	up
NC_000010.11:113493110	ENSG00000148702.15	HABP2	chr10	113493110	1	8.41527e-06	up
NC_000013.11:30471184	ENSG00000236444.5	UBE2L5	chr13	30471184	1	8.43321e-06	dn
NC_000014.9:55500387	ENSG00000182521.6	TBPL2	chr14	55500387	2	8.47125e-06	body,up
NC_000001.11:59265965	ENSG00000172456.18	FGGY	chr1	59265965	1	8.48122e-06	up
NC_000010.11:38510261	ENSG00000283930.1	PLD5P1	chr10	38510261	2	8.48399e-06	body,up
NC_000009.12:113376249	ENSG00000119431.10	HDHD3	chr9	113376249	4	8.50555e-06	body,dn,prom,up
NC_000010.11:133759244	ENSG00000225899.8	FRG2B	chr10	133759244	1	8.53667e-06	dn
NC_000018.10:5015504	ENSG00000231824.4	AKAIN1	chr18	5015504	1	8.56649e-06	dn
NC_000006.12:169577001	ENSG00000285733.1	ENSG00000285733	chr6	169577001	1	8.57114e-06	dn
NC_000004.12:120906648	ENSG00000138738.11	PRDM5	chr4	120906648	2	8.57462e-06	body,up
NC_000011.10:35404041	ENSG00000110436.13	SLC1A2	chr11	35404041	2	8.59798e-06	body,up
NC_000012.12:112566254	ENSG00000089169.15	RPH3A	chr12	112566254	1	8.61173e-06	enh
NC_000004.12:3413624	ENSG00000109758.9	HGFAC	chr4	3413624	1	8.61305e-06	up
NC_000006.12:157313010	ENSG00000215712.11	TMEM242	chr6	157313010	1	8.61647e-06	up
NC_000008.11:52878542	ENSG00000288611.1	NPBWR1	chr8	52878542	1	8.62435e-06	up
NC_000010.11:91617549	ENSG00000119938.9	PPP1R3C	chr10	91617549	1	8.626e-06	up
NC_000015.10:70864597	ENSG00000166173.11	LARP6	chr15	70864597	1	8.68823e-06	dn
NC_000005.10:270930	ENSG00000249915.9	PDCD6	chr5	270930	2	8.69312e-06	body,up
NC_000002.12:172691605	ENSG00000091428.18	RAPGEF4	chr2	172691605	1	8.69777e-06	up
NC_000010.11:1660382	ENSG00000185736.16	ADARB2	chr10	1660382	1	8.73702e-06	up
NC_000009.12:138173248	ENSG00000148408.15	CACNA1B	chr9	138173248	1	8.80958e-06	prom
NC_000009.12:138173006	ENSG00000148408.15	CACNA1B	chr9	138173006	1	8.82317e-06	prom
NC_000004.12:126196	ENSG00000250312.8	ZNF718	chr4	126196	1	8.83764e-06	body
NC_000009.12:93947200	ENSG00000131668.14	BARX1	chr9	93947200	1	8.87003e-06	dn
NC_000013.11:24940493	ENSG00000151849.16	CENPJ	chr13	24940493	1	8.93471e-06	dn
NC_000003.12:126703910	ENSG00000159685.11	CHCHD6	chr3	126703910	1	8.9781e-06	up
NC_000005.10:146916291	ENSG00000156475.19	PPP2R2B	chr5	146916291	1	8.99434e-06	up
NC_000001.11:2670287	ENSG00000142606.16	MMEL1	chr1	2670287	2	9.05406e-06	body,up
NC_000002.12:177386181	ENSG00000018510.18	AGPS	chr2	177386181	1	9.0724e-06	body
NC_000007.14:37178191	ENSG00000155849.16	ELMO1	chr7	37178191	1	9.09574e-06	up
NC_000006.12:160626110	ENSG00000198670.13	LPA	chr6	160626110	1	9.12098e-06	dn
NC_000018.10:75264313	ENSG00000179981.11	TSHZ1	chr18	75264313	1	9.13029e-06	enh
NC_000007.14:40309788	ENSG00000175600.16	SUGCT	chr7	40309788	1	9.14237e-06	body
NC_000009.12:32847230	ENSG00000188133.6	TMEM215	chr9	32847230	1	9.14587e-06	up
NC_000019.10:21609251	ENSG00000197013.11	ZNF429	chr19	21609251	1	9.18693e-06	dn
NC_000002.12:3287207	ENSG00000032389.13	EIPR1	chr2	3287207	2	9.25317e-06	body,up
NC_000009.12:120200968	ENSG00000136861.19	CDK5RAP2	chr9	120200968	2	9.2914e-06	body,up
NC_000017.11:19202907	ENSG00000072134.16	EPN2	chr17	19202907	1	9.39118e-06	body
NC_000002.12:224312035	ENSG00000124019.10	FAM124B	chr2	224312035	1	9.41103e-06	up
NC_000012.12:112626142	ENSG00000089169.15	RPH3A	chr12	112626142	1	9.41442e-06	enh
NC_000009.12:113376216	ENSG00000119431.10	HDHD3	chr9	113376216	4	9.41983e-06	body,dn,prom,up
NC_000007.14:100998462	ENSG00000169876.14	MUC17	chr7	100998462	1	9.42575e-06	up
NC_000010.11:16253954	ENSG00000165983.15	PTER	chr10	16253954	1	9.44565e-06	body
NC_000001.11:121117528	ENSG00000171943.12	SRGAP2C	chr1	121117528	2	9.53266e-06	body,up
NC_000009.12:138156623	ENSG00000148408.15	CACNA1B	chr9	138156623	1	9.53696e-06	prom
NC_000020.11:31182465	ENSG00000215547.1	DEFB115	chr20	31182465	1	9.63518e-06	up
NC_000001.11:2673352	ENSG00000142606.16	MMEL1	chr1	2673352	3	9.64747e-06	body,dn,up
NC_000008.11:142390589	ENSG00000171045.16	TSNARE1	chr8	142390589	1	9.68675e-06	up
NC_000010.11:121825550	ENSG00000107669.19	ATE1	chr10	121825550	1	9.69762e-06	up
NC_000009.12:121813440	ENSG00000136848.19	DAB2IP	chr9	121813440	1	9.73336e-06	dn
NC_000002.12:26178443	ENSG00000157833.13	GAREM2	chr2	26178443	2	9.81873e-06	body,prom
NC_000005.10:841175	ENSG00000188818.13	ZDHHC11	chr5	841175	3	9.8355e-06	body,dn,up
NC_000004.12:8630200	ENSG00000109625.19	CPZ	chr4	8630200	1	9.84334e-06	body
NC_000020.11:31089441	ENSG00000215547.1	DEFB115	chr20	31089441	1	9.90032e-06	up
NC_000006.12:149025873	ENSG00000055208.20	TAB2	chr6	149025873	1	9.92527e-06	enh
NC_000015.10:80282579	ENSG00000259417.3	CTXND1	chr15	80282579	1	9.938e-06	dn
NC_000003.12:75689025	ENSG00000172969.8	FRG2C	chr3	75689025	1	9.99659e-06	dn
NC_000002.12:119661198	ENSG00000144120.13	TMEM177	chr2	119661198	1	1.00075e-05	up
NC_000006.12:6659077	ENSG00000112799.9	LY86	chr6	6659077	2	1.00374e-05	dn,enh
NC_000007.14:87209694	ENSG00000135185.12	TMEM243	chr7	87209694	3	1.00614e-05	body,dn,up
NC_000014.9:18611165	ENSG00000257115.2	OR11H12	chr14	18611165	1	1.01212e-05	up
NC_000002.12:102195481	ENSG00000115598.10	IL1RL2	chr2	102195481	1	1.01525e-05	body
NC_000006.12:150508484	ENSG00000120278.17	PLEKHG1	chr6	150508484	1	1.02299e-05	up
NC_000005.10:78458150	ENSG00000085365.18	SCAMP1	chr5	78458150	1	1.02324e-05	body
NC_000001.11:2678928	ENSG00000142606.16	MMEL1	chr1	2678928	3	1.02428e-05	body,dn,up
NC_000009.12:113079997	ENSG00000136866.14	ZFP37	chr9	113079997	1	1.02676e-05	dn
NC_000011.10:8489832	ENSG00000130413.16	STK33	chr11	8489832	1	1.03306e-05	body
NC_000003.12:116927251	ENSG00000185565.13	LSAMP	chr3	116927251	1	1.03775e-05	body
