gene	class	priority	epifactors_function	modification	target	complex_name	source	match_rule
ATF2	histone_write	6	Histone modification write, TF	Histone acetylation, TF activator	histone, DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATF7IP	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATM	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATR	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ATXN7	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	SAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
AURKA	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
AURKB	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
AURKC	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BANP	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BARD1	histone_write	6	Histone modification write	Histone ubiquitination	histone	BRCC, BRCA1-A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BAZ1B	histone_write	6	Histone modification write	Histone phosphorylation	histone	B-WICH, WINAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BRCA1	histone_write	6	Histone modification write cofactor, TF	Histone acetylation, Histone methylation, Histone ubiquitination, TF activator, TF repressor	DNA	BRCC, BRCA1-A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BRCA2	histone_write	6	Histone modification write	Histone acetylation	histone, DNA	BRCC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BRE	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	BRISC, BRCC, BRCA1-A	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BRPF3	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	MOZ/MORF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
BUB1	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
C11ORF30	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CARM1	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDC73	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDK1	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDK17	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDK2	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDK3	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDK5	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDK7	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDY1	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDY1B	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDY2A	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDY2B	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CDYL	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHEK1	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CHUK	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CIT	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CLNS1A	histone_write	6	Histone modification write cofactor	Histone methylation	#	methylosome	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CLOCK	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CREBBP	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CSRP2BP	histone_write	6	Histone modification write	Histone acetylation	histone	ATAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CTBP2	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CUL3	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CUL4A	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
CUL4B	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DAPK3	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DDB1	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DDB2	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DOT1L	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DPY30	histone_write	6	Histone modification write cofactor	Histone methylation	histone	COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DTX3L	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
DZIP3	histone_write	6	Histone modification write	Histone ubiquitination	histone, RNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EHMT1	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EHMT2	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EID1	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EID2	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ELP2	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	Pol2 elongator	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ELP3	histone_write	6	Histone modification write	Histone acetylation	histone	Pol2 elongator	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ELP4	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	Pol2 elongator	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ELP5	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	Pol2 elongator	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
ELP6	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	Pol2 elongator	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
EP300	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
FBL	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
GSG2	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
GTF3C4	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HAT1	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HCFC2	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	MLL-HCF, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HLCS	histone_write	6	Histone modification write	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HSPA1A	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HSPA1B	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
HUWE1	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JADE1	histone_write	6	Histone modification write	Histone acetylation	histone	HBO1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JADE2	histone_write	6	Histone modification write	Histone acetylation	histone	HBO1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JADE3	histone_write	6	Histone modification write	Histone acetylation	histone	HBO1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JAK2	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
JARID2	histone_write	6	Histone modification write cofactor	Histone methylation	histone	PRC2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KANSL1	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	NSL, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KANSL2	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	NSL	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KANSL3	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	NSL	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KAT2A	histone_write	6	Histone modification write	Histone acetylation	histone	TFTC-HAT, SAGA, ATAC, STAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KAT2B	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KAT5	histone_write	6	Histone modification write	Histone acetylation	histone	SWR, NuA4, Piccolo_NuA4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KAT6A	histone_write	6	Histone modification write	Histone acetylation	histone	MOZ/MORF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KAT6B	histone_write	6	Histone modification write	Histone acetylation	histone	MOZ/MORF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KAT7	histone_write	6	Histone modification write	Histone acetylation	histone	HBO1	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KAT8	histone_write	6	Histone modification write	Histone acetylation	histone	NSL, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KMT2A	histone_write	6	Histone modification write	Histone methylation	histone	MLL-HCF, CHD8, COMPASS-like MLL1,2	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KMT2B	histone_write	6	Histone modification write	Histone methylation	histone	Menin-associated_HMT, MLL2/3, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KMT2C	histone_write	6	Histone modification write	Histone methylation	histone	MLL2/3, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KMT2D	histone_write	6	Histone modification write	Histone methylation	histone	COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
KMT2E	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
LAS1L	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
LEO1	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MAP3K7	histone_write	6	Histone modification write	#	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MASTL	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MAX	histone_write	6	Histone modification write cofactor, TF	Histone methylation, Histone acetylation, TF activator, TF repressor	DNA	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBD1	histone_write	6	Histone modification write cofactor, TF	Histone methylation, TF repressor	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MBIP	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	ATAC	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MCRS1	histone_write	6	Histone modification write	Histone acetylation	histone	Ino80, NSL, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MEAF6	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	HBO1, NuA4, MOZ/MORF	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MECP2	histone_write	6	Histone modification write cofactor, Histone modification write cofactor, TF	Histone methylation, Histone acetylation, TF repressor	DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MEN1	histone_write	6	Histone modification write cofactor	Histone methylation	histone	Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
METTL11B	histone_write	6	Histone modification writer	Histone methylation	protein	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MGA	histone_write	6	Histone modification write cofactor, TF	Histone methylation, Histone acetylation, TF activator, TF repressor	DNA	RING2-L3MBTL2, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MGEA5	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MLLT10	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MLLT6	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MRGBP	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	NuA4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MSL1	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
MSL2	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NAA60	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NAT10	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NCOA1	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NCOA3	histone_write	6	Histone modification write	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NCOA6	histone_write	6	Histone modification write cofactor	Histone methylation	histone	CHD8, MLL2/3, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NEK6	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NEK9	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NSD1	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NSL1	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
NTMT1	histone_write	6	Histone modification writer	Histone methylation	protein	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
OGT	histone_write	6	Histone modification write	Histone GlcNAcylation	histone	NSL	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PAF1	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PAGR1	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PAK2	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PAXIP1	histone_write	6	Histone modification write cofactor	Histone methylation	histone	CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PBK	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PELP1	histone_write	6	Histone modification read, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PHF20	histone_write	6	Histone modification write	Histone acetylation	histone	NSL, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PKM	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PKN1	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PPP2CA	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM1	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM11	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM12	histone_write	6	Histone modification write cofactor	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM13	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM16	histone_write	6	Histone modification write cofactor, TF	Histone methylation, TF repressor	histone, DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM2	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM4	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM5	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM6	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM7	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM8	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRDM9	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKAA1	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKAA2	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKAB1	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKAB2	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKAG1	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKAG2	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKAG3	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKCA	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKCB	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRKDC	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRMT1	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRMT2	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRMT5	histone_write	6	Histone modification write	Histone methylation	histone	methylosome	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRMT6	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRMT7	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRMT8	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRMT9	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRPF31	histone_write	6	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	histone	CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
PRR14	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RAG1	histone_write	6	Histone modification write	Histone ubiquitination	histone, DNA	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RARA	histone_write	6	Histone modification write cofactor, TF	Histone methylation, TF activator, TF repressor	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RBBP5	histone_write	6	Histone modification write cofactor	Histone methylation	histone	COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RBX1	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RNF168	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RNF2	histone_write	6	Histone modification write	Histone ubiquitination	histone	PRC1, BCOR, RING2-L3MBTL2, RING2-FBRS, CHD8, MLL2/3, MLL4/WBP7	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RNF20	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RNF40	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RNF8	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RPS6KA3	histone_write	6	Histone modification write cofactor	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RPS6KA4	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
RPS6KA5	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD1A	histone_write	6	Histone modification write	Histone methylation	histone	COMPASS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD1B	histone_write	6	Histone modification write	Histone methylation	histone	COMPASS	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD2	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD3	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD5	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD7	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETD8	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETDB1	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETDB2	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SETMAR	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SHPRH	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SKP1	histone_write	6	Histone modification write cofactor	Histone ubiquitination	histone	BCOR	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMYD1	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMYD2	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SMYD3	histone_write	6	Histone modification write	Histone methylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SPOP	histone_write	6	Histone modification write	Histone ubiquitination	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
STK4	histone_write	6	Histone modification write	Histone phosphorylation	histone	#	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
SUPT3H	histone_write	6	Histone modification write cofactor	Histone acetylation	histone	PCAF, SAGA, STAGA	EpiGenes_main.xlsx	full EpiFactors library (all HGNC symbols)
